date,clients,female,email,live_with_parents,work,family,state,education,age,monthly_spent_electronics
8/31/18 0:00,1,1,1,1,1,4,5,1,40,5916.666667
10/31/17 0:00,2,0,1,0,3,0,1,3,57,5583.333333
5/31/18 0:00,3,1,1,0,3,2,6,2,46,2666.666667
1/31/18 0:00,4,1,1,0,2,4,5,5,72,5833.333333
10/31/18 0:00,5,1,1,0,2,1,6,1,79,4916.666667
10/31/18 0:00,6,1,1,0,4,0,1,5,49,2000
6/30/18 0:00,7,1,0,0,1,0,6,1,71,4416.666667
3/31/18 0:00,8,0,1,0,2,0,3,4,59,2583.333333
6/30/18 0:00,9,0,0,0,2,0,4,3,47,4333.333333
10/31/18 0:00,10,1,1,0,4,0,4,4,63,3750
7/31/18 0:00,11,1,1,0,6,0,1,1,52,3250
8/31/18 0:00,12,1,1,0,3,0,4,3,66,6666.666667
10/31/17 0:00,13,1,1,0,3,2,5,3,47,6000
12/31/17 0:00,14,1,0,1,4,0,6,4,60,1250
7/31/18 0:00,15,0,1,0,4,0,5,1,30,4416.666667
11/30/17 0:00,16,1,1,0,5,1,4,1,44,4000
12/31/17 0:00,17,1,0,0,3,0,5,5,74,4166.666667
12/31/17 0:00,18,0,1,1,3,4,6,5,44,5666.666667
12/31/17 0:00,19,1,1,0,3,1,5,2,45,6250
3/31/18 0:00,20,0,0,1,2,3,6,2,48,5583.333333
10/31/18 0:00,21,1,1,1,3,0,2,4,47,3666.666667
11/30/17 0:00,22,1,1,0,3,0,5,5,74,5000
10/31/18 0:00,23,1,1,0,6,1,1,3,55,8666.666667
10/31/17 0:00,24,0,0,0,1,0,4,1,60,1083.333333
9/30/18 0:00,25,0,0,0,2,2,1,1,73,5166.666667
3/31/18 0:00,26,1,0,0,1,0,2,1,56,5083.333333
8/31/18 0:00,27,0,1,1,4,3,2,1,92,6833.333333
2/28/18 0:00,28,0,1,0,4,0,6,1,48,4750
6/30/18 0:00,29,1,0,1,3,0,6,2,24,5666.666667
6/30/18 0:00,30,1,0,1,4,0,6,1,67,6250
6/30/18 0:00,31,0,1,0,2,1,5,2,72,6750
12/31/17 0:00,32,1,1,1,5,1,3,5,60,3916.666667
8/31/18 0:00,33,1,0,0,1,5,6,1,57,6000
12/31/17 0:00,34,0,1,0,1,0,1,5,30,2333.333333
1/31/18 0:00,35,1,1,0,2,3,6,3,65,4916.666667
7/31/18 0:00,36,0,1,0,4,0,2,5,69,6250
1/31/18 0:00,37,1,1,0,3,0,6,1,40,4083.333333
7/31/18 0:00,38,1,1,0,1,0,6,1,55,4333.333333
11/30/17 0:00,39,0,1,0,1,2,5,1,78,5916.666667
9/30/18 0:00,40,0,1,0,2,0,2,4,57,6000
3/31/18 0:00,41,0,1,0,6,3,1,2,52,4166.666667
3/31/18 0:00,42,1,0,0,2,0,3,4,31,6166.666667
8/31/18 0:00,43,0,1,0,6,0,2,1,64,6166.666667
11/30/17 0:00,44,1,1,0,2,0,6,2,1003,6750
2/28/18 0:00,45,1,1,0,2,3,3,4,52,6333.333333
5/31/18 0:00,46,1,1,1,2,0,6,4,44,3666.666667
9/30/18 0:00,47,1,1,1,3,0,6,1,32,7416.666667
2/28/18 0:00,48,1,0,0,2,1,4,3,59,8500
7/31/18 0:00,49,1,1,0,6,0,5,5,45,5166.666667
6/30/18 0:00,50,0,1,0,4,3,4,3,81,6166.666667
12/31/17 0:00,51,1,1,1,5,0,4,5,35,6500
4/30/18 0:00,52,0,1,1,2,1,5,1,74,3750
9/30/18 0:00,53,1,0,0,1,0,3,4,23,3166.666667
10/31/17 0:00,54,1,1,0,3,1,6,1,60,8083.333333
3/31/18 0:00,55,1,0,1,2,0,5,1,57,6333.333333
2/28/18 0:00,56,1,1,0,3,3,4,2,37,2583.333333
5/31/18 0:00,57,0,1,0,1,2,4,5,33,5250
5/31/18 0:00,58,0,1,0,1,0,6,3,74,3333.333333
12/31/17 0:00,59,1,0,0,1,0,4,4,33,5250
6/30/18 0:00,60,0,0,0,4,1,5,5,24,3083.333333
10/31/18 0:00,61,0,1,0,3,1,5,4,61,3500
10/31/17 0:00,62,1,1,0,6,0,6,1,52,2500
12/31/17 0:00,63,1,1,1,1,5,5,3,70,6750
4/30/18 0:00,64,1,0,0,2,0,6,4,44,5583.333333
4/30/18 0:00,65,1,0,0,2,0,2,5,53,3083.333333
2/28/18 0:00,66,1,1,0,1,0,5,1,40,5416.666667
10/31/18 0:00,67,0,1,0,1,0,6,4,47,1416.666667
9/30/18 0:00,68,1,0,1,3,1,5,2,86,6750
6/30/18 0:00,69,1,1,1,1,3,2,1,77,3750
10/31/17 0:00,70,0,0,0,5,1,3,1,78,3250
10/31/17 0:00,71,1,0,0,4,3,3,1,48,4583.333333
12/31/17 0:00,72,0,1,1,3,0,5,4,56,4083.333333
2/28/18 0:00,73,0,1,0,2,0,5,5,61,4833.333333
9/30/18 0:00,74,1,0,0,4,2,6,1,1003,7750
5/31/18 0:00,75,1,1,0,4,1,2,1,50,4666.666667
3/31/18 0:00,76,0,1,0,1,0,1,1,58,7833.333333
10/31/18 0:00,77,1,1,0,3,0,6,1,52,5000
11/30/17 0:00,78,0,0,0,5,0,1,5,58,8166.666667
4/30/18 0:00,79,1,1,0,4,4,6,3,81,7666.666667
10/31/18 0:00,80,0,0,0,6,5,5,2,74,7000
11/30/17 0:00,81,0,1,0,4,3,6,1,46,2750
12/31/17 0:00,82,0,1,1,3,0,5,1,45,4416.666667
4/30/18 0:00,83,0,0,0,1,0,6,1,83,3833.333333
9/30/18 0:00,84,0,1,1,3,0,1,4,62,833.3333333
9/30/18 0:00,85,0,1,1,3,0,1,4,62,833.3333333
1/31/18 0:00,86,1,1,0,1,0,5,3,36,4500
2/28/18 0:00,87,1,1,0,1,0,1,2,31,833.3333333
2/28/18 0:00,88,1,1,0,1,0,1,2,31,833.3333333
8/31/18 0:00,89,1,0,0,6,0,5,1,65,5500
9/30/18 0:00,90,1,0,1,1,2,3,4,75,5500
5/31/18 0:00,91,0,1,0,1,0,3,2,58,4750
8/31/18 0:00,92,1,1,1,1,0,1,3,63,7166.666667
